player,train_rows,val_rows,test_rows,status,model_path
LeBron James,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\LeBron_James.pkl
Rui Hachimura,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Rui_Hachimura.pkl
Chris Mañon,0,0,0,skipped,
Marcus Smart,23,5,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Marcus_Smart.pkl
Luka Dončić,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Luka_Dončić.pkl
Simone Fontecchio,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Simone_Fontecchio.pkl
Terry Rozier,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Terry_Rozier.pkl
Nikola Jović,31,7,7,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Nikola_Jović.pkl
Kel'el Ware,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Kel'el_Ware.pkl
Pelle Larsson,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Pelle_Larsson.pkl
Jaime Jaquez Jr.,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jaime_Jaquez_Jr..pkl
Dru Smith,9,2,2,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Dru_Smith.pkl
Bam Adebayo,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Bam_Adebayo.pkl
Tyler Herro,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Tyler_Herro.pkl
Myron Gardner,0,0,0,skipped,
